id	path	depth	read length
HG03131-N1-DNA1-WGS1	data/polaris/HG03131.bam	30	150
HG03168-N1-DNA1-WGS1	data/polaris/HG03168.bam	30	150
HG03169-N1-DNA1-WGS1	data/polaris/HG03169.bam	30	150
HG03246-N1-DNA1-WGS1	data/polaris/HG03246.bam	30	150
HG03247-N1-DNA1-WGS1	data/polaris/HG03247.bam	30	150
HG03300-N1-DNA1-WGS1	data/polaris/HG03300.bam	30	150
HG03301-N1-DNA1-WGS1	data/polaris/HG03301.bam	30	150
HG03302-N1-DNA1-WGS1	data/polaris/HG03302.bam	30	150
HG03306-N1-DNA1-WGS1	data/polaris/HG03306.bam	30	150
HG03307-N1-DNA1-WGS1	data/polaris/HG03307.bam	30	150
HG03308-N1-DNA1-WGS1	data/polaris/HG03308.bam	30	150
HG03445-N1-DNA1-WGS1	data/polaris/HG03445.bam	30	150
HG03451-N1-DNA1-WGS1	data/polaris/HG03451.bam	30	150
HG03452-N1-DNA1-WGS1	data/polaris/HG03452.bam	30	150
HG03453-N1-DNA1-WGS1	data/polaris/HG03453.bam	30	150
HG03484-N1-DNA1-WGS1	data/polaris/HG03484.bam	30	150
HG03485-N1-DNA1-WGS1	data/polaris/HG03485.bam	30	150
HG03486-N1-DNA1-WGS1	data/polaris/HG03486.bam	30	150
HG03520-N1-DNA1-WGS1	data/polaris/HG03520.bam	30	150
HG03521-N1-DNA1-WGS1	data/polaris/HG03521.bam	30	150
HG03522-N1-DNA1-WGS1	data/polaris/HG03522.bam	30	150
HG03574-N1-DNA1-WGS1	data/polaris/HG03574.bam	30	150
HG03575-N1-DNA1-WGS1	data/polaris/HG03575.bam	30	150
HG03576-N1-DNA1-WGS1	data/polaris/HG03576.bam	30	150
HG03577-N1-DNA1-WGS1	data/polaris/HG03577.bam	30	150
HG03578-N1-DNA1-WGS1	data/polaris/HG03578.bam	30	150
HG03579-N1-DNA1-WGS1	data/polaris/HG03579.bam	30	150
HG03582-N1-DNA1-WGS1	data/polaris/HG03582.bam	30	150
HG03583-N1-DNA1-WGS1	data/polaris/HG03583.bam	30	150
HG03584-N1-DNA1-WGS1	data/polaris/HG03584.bam	30	150
