Algorithm	N	Threshold	TR	Filter	Percentage
GGTyper	60	290	0.7166666666666667	Quality	0.15789473684210525
GGTyper	60	292	0.7166666666666667	Quality	0.15789473684210525
GGTyper	58	294	0.7241379310344828	Quality	0.15263157894736842
GGTyper	55	296	0.7090909090909091	Quality	0.14473684210526316
GGTyper	54	298	0.7037037037037037	Quality	0.14210526315789473
GGTyper	52	300	0.6923076923076923	Quality	0.1368421052631579
GGTyper	51	302	0.6862745098039216	Quality	0.13421052631578947
GGTyper	51	304	0.6862745098039216	Quality	0.13421052631578947
GGTyper	47	306	0.6595744680851063	Quality	0.12368421052631579
GGTyper	43	308	0.6511627906976745	Quality	0.11315789473684211
GGTyper	41	310	0.6341463414634146	Quality	0.10789473684210527
GGTyper	40	312	0.625	Quality	0.10526315789473684
GGTyper	39	314	0.6153846153846154	Quality	0.10263157894736842
GGTyper	37	316	0.6486486486486487	Quality	0.09736842105263158
GGTyper	36	318	0.6666666666666666	Quality	0.09473684210526316
GGTyper	35	320	0.6571428571428571	Quality	0.09210526315789473
GGTyper	32	322	0.65625	Quality	0.08421052631578947
GGTyper	30	324	0.6666666666666666	Quality	0.07894736842105263
GGTyper	26	326	0.7307692307692307	Quality	0.06842105263157895
GGTyper	22	328	0.8181818181818182	Quality	0.05789473684210526
GGTyper	21	330	0.8095238095238095	Quality	0.05526315789473684
GGTyper	21	332	0.8095238095238095	Quality	0.05526315789473684
GGTyper	20	334	0.85	Quality	0.05263157894736842
GGTyper	18	336	0.8333333333333334	Quality	0.04736842105263158
GGTyper	15	338	0.9333333333333333	Quality	0.039473684210526314
GGTyper	14	340	1	Quality	0.03684210526315789
GGTyper	14	342	1	Quality	0.03684210526315789
GGTyper	12	344	1	Quality	0.031578947368421054
GGTyper	12	346	1	Quality	0.031578947368421054
GGTyper	11	348	1	Quality	0.02894736842105263
GGTyper	10	350	1	Quality	0.02631578947368421
GGTyper	10	352	1	Quality	0.02631578947368421
GGTyper	10	354	1	Quality	0.02631578947368421
GGTyper	9	356	1	Quality	0.02368421052631579
GGTyper	9	358	1	Quality	0.02368421052631579
GGTyper	9	360	1	Quality	0.02368421052631579
GGTyper	9	362	1	Quality	0.02368421052631579
GGTyper	8	364	1	Quality	0.021052631578947368
GGTyper	8	366	1	Quality	0.021052631578947368
GGTyper	8	368	1	Quality	0.021052631578947368
GGTyper	7	370	1	Quality	0.018421052631578946
GGTyper	7	372	1	Quality	0.018421052631578946
GGTyper	7	374	1	Quality	0.018421052631578946
GGTyper	6	376	1	Quality	0.015789473684210527
GGTyper	6	378	1	Quality	0.015789473684210527
GGTyper	6	380	1	Quality	0.015789473684210527
GGTyper	5	382	1	Quality	0.013157894736842105
GGTyper	5	384	1	Quality	0.013157894736842105
GGTyper	5	386	1	Quality	0.013157894736842105
GGTyper	5	388	1	Quality	0.013157894736842105
GGTyper	5	390	1	Quality	0.013157894736842105
GGTyper	5	392	1	Quality	0.013157894736842105
GGTyper	5	394	1	Quality	0.013157894736842105
GGTyper	5	396	1	Quality	0.013157894736842105
GGTyper	4	398	1	Quality	0.010526315789473684
GGTyper	4	400	1	Quality	0.010526315789473684
GGTyper	4	402	1	Quality	0.010526315789473684
