Time	RSS	CPU
2194	3.0g	1200
2196	3.0g	1200
2198	3.0g	1200
2201	3.0g	1129
2203	3.0g	1185
2205	3.0g	1200
2207	3.0g	1200
2209	3.0g	1146
2211	3.0g	1146
2213	3.0g	1177
2215	3.0g	1131
2217	3.0g	1175
2219	3.0g	1177
2221	3.0g	1138
2224	3.0g	1200
2226	2.9g	1200
2228	2.9g	1200
2230	2.9g	1146
2232	2.9g	1033
2234	2.9g	776.9
2236	2.9g	1062
2238	2.9g	1192
2240	2.9g	1200
2242	2.9g	1177
2245	2.9g	978.6
2247	3.0g	1177
2249	2.9g	108.3
2251	3.0g	1107
2253	3.0g	1185
2255	3.0g	1200
2257	3.0g	1200
2260	3.0g	1185
2262	3.0g	1185
2264	3.0g	1200
2266	3.0g	1200
2268	3.0g	1200
2270	3.0g	1200
2272	3.0g	1200
2274	3.0g	1129
2276	3.0g	1200
2279	3.0g	1177
2281	3.0g	1200
2283	3.0g	1177
2285	3.0g	1200
2287	3.0g	1200
2289	3.0g	1200
2291	3.0g	1200
2293	3.0g	1177
2296	3.0g	1200
2298	3.0g	1200
2300	3.0g	1185
2302	3.0g	1177
2304	3.0g	1200
2306	3.0g	1138
2308	3.0g	1177
2310	3.0g	1185
2313	3.0g	1200
2315	3.0g	1200
2317	3.0g	1200
2319	3.0g	1200
2321	3.0g	1200
2323	3.0g	1146
2325	3.0g	1200
2327	3.0g	1146
2330	3.0g	1200
2332	3.0g	1200
2334	3.0g	1177
2336	3.0g	1129
2338	3.0g	1200
2340	3.0g	1185
2342	3.0g	1200
2344	3.0g	1200
2347	3.0g	1200
2349	3.0g	1146
2351	3.0g	1136
2353	3.0g	1200
2355	3.0g	1200
2357	3.0g	1200
2359	3.0g	1154
2361	3.0g	1146
2364	3.0g	1185
2366	3.0g	1200
2368	3.0g	1200
2370	3.0g	1200
2372	3.0g	1177
2374	3.0g	1200
2376	3.0g	1146
2379	3.0g	1185
2381	3.0g	1185
2383	3.0g	1129
2385	3.0g	1169
2387	3.0g	1185
2389	3.0g	1177
2391	3.0g	1200
2393	3.0g	1200
2396	3.0g	1200
2398	3.0g	1200
2400	3.0g	1169
2402	3.0g	1138
2404	3.0g	1200
2406	3.0g	1200
2408	3.0g	1185
2410	3.0g	1138
2413	3.0g	1177
2415	3.0g	1200
2417	3.0g	1177
2419	3.0g	1200
2421	3.0g	1185
2423	3.0g	1200
2425	3.0g	1129
2427	3.0g	1154
2430	3.0g	1200
2432	3.0g	1177
2434	3.0g	1138
2436	3.0g	1200
2438	3.0g	1200
2440	3.0g	1177
2442	3.0g	1177
2444	3.0g	1146
2447	3.0g	1200
2449	3.0g	1185
2451	3.0g	1185
2453	3.0g	1185
2455	3.0g	1146
2457	3.0g	1200
2459	3.0g	1185
2462	3.0g	1200
2464	3.0g	1200
2466	3.0g	100.0
2468	2.9g	1164
2470	2.9g	1200
2472	2.9g	1200
2474	2.9g	1200
2477	2.9g	1200
2479	2.9g	1138
2481	2.9g	1200
2483	2.9g	1200
2485	2.9g	1200
2487	3.0g	1146
2489	3.0g	1136
2491	3.0g	1138
2493	3.0g	1162
2496	3.2g	1200
2498	3.2g	1200
2500	3.2g	1164
2502	3.2g	1200
2504	3.2g	1200
2506	3.2g	1146
2508	3.2g	1108
2511	3.2g	1177
2513	3.2g	1129
2515	3.2g	1200
2517	3.2g	1177
2519	3.2g	1200
2521	3.2g	1200
2523	3.2g	1146
2525	3.2g	1185
2528	3.2g	1200
2530	3.2g	1100
2532	3.2g	1200
2534	3.2g	1200
2536	3.2g	1164
2538	3.2g	1200
2540	3.2g	1200
2543	3.2g	1200
