Time	RSS	CPU
1339	7.3g	307.7
1341	7.3g	316.7
1343	7.3g	416.7
1345	7.3g	315.4
1348	7.3g	333.3
1350	7.3g	208.3
1352	7.3g	200.0
1354	7.3g	200.0
1356	7.3g	207.7
1358	7.3g	216.7
1360	7.3g	200.0
1362	7.3g	333.3
1365	7.3g	300.0
1367	7.3g	292.3
1369	7.3g	258.3
1371	7.3g	353.8
1373	7.3g	300.0
1375	7.3g	207.1
1377	7.3g	200.0
1379	7.3g	292.3
1382	7.3g	246.2
1384	7.3g	269.2
1386	7.3g	345.5
1388	7.3g	307.7
1390	7.3g	300.0
1392	7.3g	300.0
1394	7.3g	223.1
1396	7.3g	308.3
1399	7.3g	207.7
1401	7.3g	215.4
1403	7.3g	200.0
1405	7.3g	307.7
1407	7.3g	241.7
1409	7.3g	300.0
1411	7.3g	307.7
1413	7.3g	307.7
1416	7.3g	300.0
1418	7.3g	207.7
1420	7.3g	207.7
1422	7.3g	307.7
1424	7.3g	300.0
1426	7.3g	284.6
1428	7.3g	366.7
1430	7.3g	300.0
1433	7.3g	285.7
1435	7.3g	300.0
1437	7.3g	233.3
1439	7.3g	323.1
1441	7.3g	192.3
1443	7.3g	216.7
1446	7.3g	216.7
1448	7.3g	300.0
1450	7.3g	207.7
1452	7.3g	300.0
1454	7.3g	307.7
1456	7.3g	246.2
1458	7.3g	300.0
1460	7.3g	325.0
1463	7.3g	300.0
1465	7.3g	215.4
1467	7.3g	200.0
1469	7.3g	207.7
1471	7.3g	284.6
1473	7.3g	283.3
1475	7.3g	323.1
1477	7.3g	284.6
1479	7.3g	327.3
1482	7.3g	300.0
1484	7.3g	216.7
1486	7.3g	191.7
1488	7.3g	361.5
1490	7.3g	216.7
1492	7.3g	207.7
1494	7.3g	292.3
1497	7.3g	292.3
1499	7.3g	291.7
1501	7.3g	353.8
1503	7.3g	341.7
1505	7.3g	300.0
1507	7.3g	300.0
1509	7.3g	192.3
1511	7.3g	238.5
1513	7.3g	223.1
1516	7.3g	200.0
1518	7.3g	200.0
1520	7.3g	308.3
1522	7.3g	338.5
1524	7.3g	292.3
1526	7.3g	300.0
1528	7.3g	308.3
1530	7.3g	308.3
1532	7.3g	216.7
1535	7.3g	200.0
1537	7.3g	230.8
1539	7.3g	238.5
1541	7.3g	300.0
1543	7.3g	300.0
1545	7.3g	300.0
1547	7.3g	300.0
1549	7.3g	291.7
1552	7.3g	207.7
1554	7.3g	200.0
1556	7.3g	392.3
1558	7.3g	200.0
1560	7.3g	192.3
1562	7.3g	292.3
1564	7.3g	325.0
1566	7.3g	307.7
1569	7.3g	200.0
1571	7.3g	269.2
1573	7.3g	269.2
1575	7.3g	683.3
1577	7.3g	653.8
1579	7.3g	784.6
1581	7.3g	566.7
1583	7.3g	753.8
1585	7.3g	707.7
1588	7.3g	646.2
1590	7.3g	683.3
1592	7.3g	618.2
1594	7.3g	592.3
1596	7.3g	983.3
1598	7.3g	750.0
1600	7.3g	723.1
1602	7.3g	530.8
1604	7.3g	584.6
1606	7.3g	516.7
1609	7.3g	858.3
1611	7.3g	758.3
1613	7.3g	566.7
1615	7.3g	516.7
1617	7.3g	750.0
1619	7.3g	738.5
1621	7.3g	784.6
1623	7.3g	700.0
1625	7.3g	646.2
1627	7.3g	650.0
1630	7.3g	707.7
1632	7.3g	616.7
1634	7.3g	808.3
1636	7.3g	600.0
1638	7.3g	761.5
1640	7.3g	650.0
1642	7.3g	630.8
1644	7.3g	723.1
1646	7.3g	716.7
1648	7.3g	676.9
1651	7.3g	541.7
1653	7.3g	858.3
1655	7.3g	825.0
1657	7.3g	500.0
1659	7.3g	500.0
1661	7.3g	584.6
1663	7.3g	623.1
1665	7.3g	833.3
1667	7.3g	784.6
1670	7.3g	507.7
1672	7.3g	761.5
1674	7.3g	576.9
1676	7.3g	775.0
1678	7.3g	700.0
1680	7.3g	669.2
1682	7.3g	792.3
1684	7.3g	741.7
1686	7.3g	825.0
1688	7.3g	733.3
1691	7.3g	575.0
1693	7.3g	723.1
1695	7.3g	523.1
1697	7.3g	807.7
1699	7.3g	607.7
1701	7.3g	769.2
1703	7.3g	500.0
1705	7.3g	646.2
1707	7.3g	666.7
1709	7.3g	516.7
1712	7.3g	683.3
1714	7.3g	783.3
1716	7.3g	800.0
1718	7.3g	630.8
1720	7.3g	784.6
1722	7.3g	530.8
1724	7.3g	700.0
1726	7.3g	569.2
1728	7.3g	592.3
1730	7.3g	850.0
1733	7.3g	608.3
1735	7.3g	653.8
1737	7.3g	800.0
1739	7.3g	638.5
1741	7.3g	746.2
1743	7.3g	769.2
1745	7.3g	630.8
1747	7.3g	741.7
1749	7.3g	715.4
1752	7.3g	507.7
1754	7.3g	661.5
1756	7.3g	676.9
1758	7.3g	492.3
1760	7.3g	784.6
1762	7.3g	707.7
1764	7.3g	633.3
1766	7.3g	546.2
1768	7.3g	776.9
1770	7.3g	546.2
1773	7.3g	715.4
1775	7.3g	523.1
1777	7.3g	866.7
1779	7.3g	692.3
1781	7.3g	608.3
1783	7.3g	615.4
1785	7.3g	738.5
1787	7.3g	630.8
1789	7.3g	561.5
1792	7.3g	664.3
1794	7.3g	584.6
1796	7.3g	783.3
1798	7.3g	650.0
1800	7.3g	625.0
1802	7.3g	576.9
1804	7.3g	507.7
1806	7.3g	576.9
1809	7.3g	723.1
1811	7.3g	630.8
1813	7.3g	691.7
1815	7.3g	714.3
1817	7.3g	550.0
1819	7.3g	761.5
1821	7.3g	569.2
1823	7.3g	825.0
1825	7.3g	616.7
1828	7.3g	738.5
1830	7.3g	507.7
1832	7.3g	841.7
1834	7.3g	653.8
1836	7.3g	875.0
1838	7.3g	645.5
1840	7.3g	692.3
1842	7.3g	625.0
1844	7.3g	633.3
1846	7.3g	800.0
1849	7.3g	616.7
1851	7.3g	715.4
1853	7.3g	508.3
1855	7.3g	792.3
1857	7.3g	708.3
1859	7.3g	684.6
1861	7.3g	615.4
1863	7.3g	623.1
1865	7.3g	592.3
1868	7.3g	508.3
1870	7.3g	546.2
1872	7.3g	546.2
1874	7.3g	733.3
1876	7.3g	569.2
1878	7.3g	646.2
1880	7.3g	841.7
1882	7.3g	638.5
1884	7.3g	708.3
1887	7.3g	850.0
1889	7.3g	561.5
1891	7.3g	700.0
1893	7.3g	492.3
1895	7.3g	753.8
1897	7.3g	546.2
1899	7.3g	676.9
1901	7.3g	523.1
1903	7.3g	491.7
1905	7.3g	623.1
1907	7.3g	623.1
1910	7.3g	661.5
1912	7.3g	592.3
1914	7.3g	608.3
1916	7.3g	800.0
1918	7.3g	669.2
1920	7.3g	558.3
1922	7.3g	775.0
1924	7.3g	669.2
1926	7.3g	653.8
1928	7.3g	683.3
1931	7.3g	630.8
1933	7.3g	700.0
1935	7.3g	775.0
1937	7.3g	725.0
1939	7.3g	741.7
1941	7.3g	700.0
1943	7.3g	725.0
1945	7.3g	600.0
1947	7.3g	808.3
1949	7.3g	708.3
1952	7.3g	792.3
1954	7.3g	508.3
1956	7.3g	584.6
1958	7.3g	666.7
1960	7.3g	753.8
1962	7.3g	700.0
1964	7.3g	823.1
1966	7.3g	641.7
1968	7.3g	553.8
1970	7.3g	583.3
1973	7.3g	692.3
1975	7.3g	623.1
1977	7.3g	746.2
1979	7.3g	608.3
1981	7.3g	784.6
1983	7.3g	530.8
1985	7.3g	783.3
1987	7.3g	515.4
1989	7.3g	600.0
1991	7.3g	508.3
1994	7.4g	715.4
1996	7.4g	523.1
1998	7.4g	792.3
2000	7.4g	615.4
2002	7.4g	807.7
2004	7.4g	591.7
2006	7.4g	525.0
2008	7.4g	625.0
2010	7.4g	523.1
2012	7.4g	638.5
2015	7.4g	875.0
2017	7.4g	523.1
2019	7.4g	792.3
2021	7.4g	571.4
2023	7.4g	800.0
2025	7.4g	616.7
2027	7.4g	766.7
2029	7.4g	575.0
2031	7.4g	858.3
2034	7.4g	630.8
2036	7.4g	807.7
2038	7.4g	569.2
2040	7.4g	692.3
2042	7.4g	600.0
2044	7.4g	738.5
2046	7.4g	708.3
2048	7.4g	633.3
2050	7.4g	607.7
2053	7.4g	507.7
2055	7.4g	533.3
2057	7.4g	641.7
2059	7.4g	630.8
2061	7.4g	692.3
2063	7.4g	484.6
2065	7.4g	576.9
2067	7.4g	783.3
2069	7.4g	741.7
2071	7.4g	858.3
2074	7.4g	653.8
2076	7.4g	700.0
2078	7.4g	561.5
2080	7.4g	784.6
2082	7.4g	607.7
2084	7.4g	815.4
2086	7.4g	507.7
2088	7.4g	507.7
2090	7.4g	507.7
2093	7.4g	684.6
2095	7.4g	816.7
2097	7.4g	616.7
2099	7.4g	653.8
2101	7.4g	675.0
2103	7.4g	638.5
2105	7.4g	700.0
2107	7.4g	753.8
2109	7.4g	615.4
2111	7.4g	854.5
2114	7.4g	700.0
2116	7.4g	608.3
2118	7.4g	661.5
2120	7.4g	623.1
2122	7.4g	663.6
2124	7.4g	561.5
2126	7.4g	553.8
2128	7.4g	633.3
2130	7.4g	769.2
2132	7.4g	623.1
2134	7.4g	841.7
2137	7.4g	507.7
2139	7.4g	550.0
2141	7.4g	583.3
2143	7.4g	800.0
2145	7.4g	633.3
2147	7.4g	769.2
2149	7.4g	825.0
2151	7.4g	800.0
2153	7.4g	638.5
2156	7.4g	492.3
2158	7.4g	550.0
2160	7.4g	784.6
2162	7.4g	615.4
2164	7.4g	692.3
2166	7.4g	761.5
2168	7.4g	650.0
2170	7.4g	700.0
2172	7.4g	758.3
2174	7.4g	683.3
2177	7.4g	623.1
2179	7.4g	592.3
2181	7.4g	800.0
2183	7.4g	691.7
2185	7.4g	550.0
2187	7.4g	561.5
2189	7.4g	666.7
2191	7.4g	769.2
2193	7.4g	766.7
2195	7.4g	607.7
2198	7.4g	692.3
2200	7.4g	653.8
2202	7.4g	630.8
2204	7.4g	676.9
2206	7.4g	583.3
2208	7.4g	633.3
2210	7.4g	816.7
2212	7.4g	630.8
2214	7.4g	800.0
2216	7.4g	550.0
2218	7.4g	692.3
2221	7.4g	708.3
2223	7.4g	638.5
2225	7.4g	716.7
2227	7.4g	546.2
2229	7.4g	715.4
2231	7.4g	523.1
2233	7.4g	675.0
2235	7.4g	554.5
2237	7.4g	525.0
2239	7.4g	515.4
2241	7.4g	666.7
2244	7.4g	590.9
2246	7.4g	583.3
2248	7.4g	733.3
2250	7.4g	600.0
2252	7.4g	769.2
2254	7.4g	650.0
2256	7.4g	816.7
2258	7.4g	500.0
2260	7.4g	708.3
2262	7.4g	541.7
2264	7.4g	600.0
2267	7.4g	508.3
2269	7.4g	753.8
